ID,TITLE,GENRE,RATING
4,Day after trinity,Drama,9.800000
17,Satans tango ,Drama,6.800000
19,Cannibal holocaust,Drama,7.500000
20,Boy meets boy,Drama,1.100000
22,Naked in new york,Drama,6.000000
24,Tic code,Drama,1.900000
25,Kick ass,Drama,9.700000
27,Telefon,Drama,8.200000
32,Chance of a lifetime,Drama,8.200000
36,Questioning darwin,Drama,1.000000
41,Brute the bruto,Drama,2.900000
42,Experiment in terror,Drama,8.500000
44,Summer in berlin,Drama,9.800000
49,Horrible bosses 2,Drama,9.100000
57,Dragon ball z,Drama,8.500000
60,Flying down to rio,Drama,8.800000
66,My sassy girl,Drama,9.000000
70,Pirates who dont do anything,Drama,9.300000
73,Deep rising,Drama,9.900000
77,Doubt,Drama,9.300000
86,Creepshow 2,Drama,6.200000
87,Je appelle elisabeth,Drama,9.600000
90,Cheech and chong,Drama,1.300000
92,Silent house,Drama,10.000000
93,Ordinary decent criminal,Drama,7.100000
96,Way we laughed,Drama,4.400000
97,Vie en rose,Drama,2.000000
99,Jimmy rosenberg,Drama,1.100000
100,You kill me,Drama,5.300000
