ID,TITLE,GENRE,RATING
1,Docks of new york,Terror,4.700000
5,Disneyland dream,Terror,9.700000
7,Who is john galt,Terror,4.800000
8,How to survive a plague,Terror,7.100000
10,The case of lucky legs,Terror,1.200000
11,Musketeer,Terror,2.100000
23,American winterr,Terror,6.800000
26,In the cut,Terror,4.100000
29,Dirty work,Terror,9.000000
33,The snow white murder case,Terror,1.300000
35,With love,Terror,2.900000
37,Designing woman,Terror,5.000000
39,Bone collector,Terror,9.200000
40,Saturday night fever,Terror,7.400000
45,Presidents man,Terror,2.700000
53,47 ronin,Terror,7.000000
55,Divorcee,Terror,3.800000
59,1969,Terror,9.000000
64,Ugly truth,Terror,4.200000
75,Big mommas like father,Terror,9.400000
84,Greatest show on earth,Terror,1.700000
85,Quicksilver highway,Terror,2.900000
94,Eerie tales,Terror,2.900000
